temperature,humidity,wind,rain,FFMC,DMC,DC,ISI,month,day,fire_occurred,area
38.189408761300996,46.569645941443525,8.961388060906927,16.712604137430155,94.57066875062442,18.983193347723866,294.2026910927356,13.297466344133293,nov,wed,1,6.89838698010888
19.81466963215002,62.466751009392425,14.155838547523539,42.091308409527215,90.92120719606416,35.05673667618895,199.04182017947835,15.123428079237573,oct,sun,0,0.0
23.253416019409013,14.16419186938457,18.03326829353516,15.832984732211708,94.23299182673193,11.924999776014854,34.46051453685863,15.857815302164955,sep,sat,1,16.12615938713193
25.008095156784705,29.505908208032388,11.451818281289158,23.25322169564893,88.00936301752395,31.89016611162726,48.311239454481566,19.835175241436122,apr,sat,1,10.571987939912066
30.371665023851218,25.776471778480065,17.969266969571066,32.42790072335205,90.33461601921186,33.57962759933934,38.69487968831634,15.396978770262585,oct,sun,1,16.431024847161535
20.37055048054425,20.828996940820623,7.298410287999689,46.13467567214665,89.46630818153693,28.5745158569074,252.97911347875223,14.689260192119011,oct,wed,1,9.426824134432964
26.178072790542828,68.06071003626204,13.232229930167847,14.767110113445337,85.15019728074014,26.304405949069164,130.5553832965236,8.860025303718384,oct,wed,0,0.0
25.74728044831655,13.585304853664582,2.1741879960028565,43.80685772660387,85.97311827191338,24.49444582049138,207.732700053556,18.614078982185582,nov,mon,1,10.88558102208126
28.416062020005345,54.39155009401674,4.23167665790984,24.20728252215959,90.46847800967149,34.50710012938585,177.19236489148696,16.378549698714036,nov,sun,0,0.0
24.722261505516904,82.72327530513888,15.830621423301105,42.004950783384636,85.25006970335906,27.083455347378404,248.45510910481278,14.718835245056006,jan,sun,0,0.0
33.77737849157745,48.62539954803289,11.329034994020743,31.176582662205565,89.17924961989951,29.925020966772404,240.75633561853175,9.129317738643337,mar,sun,1,5.696009426499652
27.305390161482176,25.21919070470392,15.87920691815844,16.04518336541324,87.2315176375324,25.520863735333815,47.160033134346705,15.211689167292828,jul,sat,1,14.385204599030486
